hr,name,ra_degrees,dec_degrees,Vmag
1,BD+44 4550,1.2912499999999998,45.22916666666667,6.70
2,BD-01 4525,1.2658333333333331,-0.5030555555555556,6.29
3,PscBD-06 6357,1.3337499999999998,-5.7075000000000005,4.61
4,PegBD+12 5063,1.4249999999999998,13.39611111111111,5.51
5,BD+57 2865,1.5666666666666667,58.43666666666666,5.96
6,CD-4914337,1.5791666666666666,-49.075,5.70
7,CasBD+63 2107,1.6104166666666666,64.19611111111111,5.59
8,BD+28 4704,1.653333333333333,29.02138888888889,6.13
9,CD-23    4,1.7087499999999998,-23.1075,6.18
10,BD-18 6428,1.825833333333333,-17.386388888888888,6.19
11,BD-03    2,1.9337499999999999,-2.548888888888889,6.43
12,CD-23   13,1.945,-22.50888888888889,5.94
13,CD-34   17,2.0145833333333334,-33.529444444444444,5.68
14,BD-03    3,2.0504166666666666,-2.447777777777778,6.07
15,AndBD+28    4,2.097083333333333,29.090555555555554,2.06
16,BD-09    5,2.0725,-8.823888888888888,5.99
17,BD+35    8,2.170833333333333,36.626666666666665,6.19
18,BD-18    3,2.139166666666666,-17.5775,6.06
19,BD+24    3,2.2175,25.462777777777777,6.23
20,BD+78    1,2.3341666666666665,79.71472222222222,6.01
21,CasBD+58    3,2.2945833333333328,59.14972222222222,2.27
22,PegBD+17    7,2.26,18.211944444444445,5.53
23,CP-54   19,2.26,-54.00194444444445,6.33
24,1SclCD-28   16,2.3374999999999995,-27.98777777777778,5.42
25,PheCD-46   18,2.3529166666666663,-45.7475,3.88
26,PscBD+10    8,2.5095833333333326,11.145555555555555,5.51
27,AndBD+45   17,2.5804166666666664,46.07222222222222,5.03
28,BD+56   11,2.62375,57.16555555555556,6.74
29,BD-06   11,2.5783333333333327,-5.248611111111111,5.84
30,3OctCP-82    4,2.5087499999999996,-82.2238888888889,5.28
31,BD-13   13,2.678333333333333,-12.58,5.85
32,CP-73    4,2.6608333333333327,-73.22444444444444,6.64
33,CetBD-16   17,2.8162499999999997,-15.468055555555555,4.89
34,2SclCD-28   26,2.893333333333333,-27.799722222222226,5.41
35,SclCD-35   42,2.9333333333333327,-35.13305555555556,5.25
36,BD+47   21,2.9962499999999994,48.152499999999996,6.16
37,BD-18   14,3.0416666666666665,-17.938333333333333,5.25
38,BD+36   12,3.21,37.69333333333333,6.73
39,PegBD+14   14,3.3091666666666666,15.18361111111111,2.83
40,BD+26   13,3.3499999999999996,26.987222222222222,6.30
41,AndBD+40   29,3.3783333333333334,41.03527777777778,5.72
42,CD-26   56,3.4254166666666666,-26.021944444444443,5.94
43,CD-26   57,3.434166666666666,-26.284722222222225,6.31
44,BD+32   21,3.509583333333333,33.20611111111111,6.25
45,PegBD+19   27,3.650833333333333,20.206666666666667,4.80
46,BD-08   26,3.6149999999999993,-7.780555555555556,5.12
47,CP-85    2,3.330833333333333,-84.99416666666667,5.77
48,CetBD-19   21,3.6599999999999997,-18.93277777777778,4.44
49,BD+21   13,3.7337499999999997,22.284166666666668,6.24
50,PscBD+08   19,3.7449999999999997,8.820833333333333,5.79
51,BD-10   30,3.727083333333333,-9.569722222222222,5.75
52,BD+30   26,3.779166666666667,31.535833333333336,6.45
53,BD+26   23,3.7941666666666665,27.283055555555556,6.35
54,CD-35   65,3.7424999999999997,-34.904444444444444,6.17
55,BD+76    5,4.058333333333333,76.95083333333334,6.35
56,BD+42   41,4.09,43.594722222222224,6.15
57,CD-32   72,4.0370833333333325,-31.44638888888889,5.67
58,CP-76   19,3.979999999999999,-75.9113888888889,6.49
59,PscBD+07   27,4.142083333333333,8.239999999999998,6.11
60,BD+60   21,4.237916666666666,61.53333333333333,5.74
61,BD-21   24,4.177083333333333,-20.210555555555555,6.47
62,BD+47   50,4.287916666666666,47.9475,5.89
63,AndBD+37   34,4.272916666666666,38.681666666666665,4.61
64,CP-79    7,4.204166666666667,-78.78055555555555,6.77
65,BD+50   46,4.429166666666665,51.433055555555555,6.14
66,BD-19   30,4.385833333333332,-19.051111111111112,6.45
67,BD+00   28,4.4487499999999995,1.6888888888888889,6.17
68,AndBD+35   44,4.582083333333332,36.78527777777778,4.52
69,BD+10   25,4.571666666666665,11.205833333333333,6.05
70,AndBD+42   48,4.675416666666666,43.79111111111111,6.11
71,BD+30   35,4.659583333333332,31.51722222222222,5.87
72,BD-08   38,4.674166666666666,-8.052777777777779,6.46
73,CD-43   64,4.677499999999999,-43.23527777777778,6.33
74,CetBD-09   48,4.857083333333333,-8.823888888888888,3.56
75,BD+39   56,4.923333333333332,40.72972222222222,6.33
76,BD+48   79,5.0216666666666665,48.86527777777778,6.52
77,TucCP-65   13,5.0179166666666655,-64.87472222222222,4.23
78,BD+30   42,5.101666666666666,30.935833333333335,5.90
79,BD+32   45,5.189583333333332,32.91138888888889,5.79
80,PscBD+07   36,5.149583333333332,8.190277777777778,5.37
81,BD+10   32,5.227083333333332,10.976944444444445,6.56
82,AndBD+37   45,5.280416666666666,37.968611111111116,5.18
83,TucCP-70   12,5.162499999999999,-69.625,5.51
84,SclCD-29   86,5.379999999999999,-28.981666666666666,5.18
85,BD-20   50,5.442916666666665,-20.05777777777778,5.12
86,PscBD+12   25,5.606249999999999,13.4825,6.23
87,CP-78    9,5.369166666666666,-77.42694444444444,5.97
88,CetBD-13   60,5.715833333333332,-12.209444444444443,6.39
89,CD-31  138,5.802499999999999,-31.03611111111111,6.55
90,BD+37   58,6.008333333333333,38.577222222222225,7.39
91,BD+51   62,6.065,52.019999999999996,5.57
92,1572,0.0,0.0,
93,CasBD+61   69,6.197916666666666,61.83111111111111,5.40
94,BD-03   49,6.123749999999999,-2.2191666666666667,6.07
95,Tuc,0.0,0.0,
96,BD+52   61,6.276666666666666,53.04694444444444,5.74
97,PscBD+01   57,6.350833333333333,1.9397222222222223,5.77
98,HyiCP-77   16,6.437916666666666,-77.25416666666666,2.80
99,PheCD-42  116,6.570833333333333,-42.30611111111111,2.39
100,PheCD-44  101,6.550833333333332,-43.68,3.94
101,CetBD-00   63,6.655833333333333,-0.04972222222222222,6.19
102,CD-26  138,6.811249999999999,-25.547222222222224,5.98
103,PscBD+17   55,7.012083333333333,17.893055555555556,5.06
104,BD+43   92,7.057083333333333,44.394444444444446,5.17
105,SclCD-33  152,6.982083333333333,-33.007222222222225,4.81
106,PscBD+15   63,7.0529166666666665,16.445,6.06
107,BD+09   47,7.083749999999999,10.189722222222223,6.04
108,BD-21   57,7.087916666666666,-20.334999999999997,6.43
109,CD-40   93,7.109999999999999,-39.915,5.43
110,BD+36   66,7.235833333333333,36.9,6.26
111,CD-51  113,7.1795833333333325,-50.532777777777774,6.26
112,BD+76   10,7.729166666666665,77.01944444444445,6.21
113,BD+59   68,7.582916666666666,59.977222222222224,5.94
114,AndBD+28   75,7.530416666666665,29.751666666666665,5.23
115,BD-15   84,7.46625,-14.864166666666666,6.14
116,CD-32  154,7.453749999999999,-32.11666666666667,6.57
117,CetBD-04   54,7.51,-3.957222222222222,5.72
118,CD-24  179,7.594583333333333,-23.78777777777778,5.19
119,CD-41  116,7.615833333333332,-40.93944444444444,6.19
120,CD-48  102,7.608749999999999,-48.215,5.69
121,CasBD+65   67,7.855416666666666,66.51944444444445,6.18
122,BD+32   80,7.856666666666666,33.58166666666667,5.87
123,CasBD+53   82,7.9433333333333325,54.52222222222222,4.73
124,BD+52   92,7.921666666666667,52.839444444444446,5.60
125,1PheCD-49  115,7.854166666666666,-48.80361111111111,4.77
126,1TucCP-63   50,7.8862499999999995,-62.95805555555556,4.37
